#CODE	ENGLISH
haughty	Haughty
EVTOPTC_ZE_6021	[moving_councillor.GetSheHeCap] should be my [Root.GetTreasurerName].
EVTOPTD_ZE_6021	[moving_councillor.GetSheHeCap] should be my [Root.GetSpymasterName].
EVTOPTE_ZE_6021	[moving_councillor.GetSheHeCap] should be my [Root.GetLordSpiritualName].
EVTOPTF_ZE_6021	I've changed my mind.
EVTDESCA_ZE_12100	Today [curious_events_char_1.GetFullName] said [curious_events_char_1.GetSheHe] had to attend to various important matters, and I would have to spend the day alone.
EVTDESCB_ZE_12100	I woke up early and found a sealed letter addressed to [curious_events_char_2.GetTitledName]. I wonder what it could say?
EVTDESCC_ZE_12100	Suddenly I hear something moving around in the bushes next to me. I ask who's there but there's no response.
EVTOPTA_ZE_12100	I will follow [curious_events_char_1.GetHerHim] to see what [curious_events_char_1.GetSheHe] is up to!
EVTOPTB_ZE_12100	I can play all day!
EVTOPTC_ZE_12100	Place it on the table and ask about it later.
EVTOPTD_ZE_12100	I should find out. It could be important.
EVTOPTE_ZE_12100	I should investigate.
EVTOPTF_ZE_12100	I should tell someone.
EVTDESCA_ZE_12102	I had told [From.GetFirstName] to stay at home, but just as I finish purchasing my gift to [From.GetHerHim] I turn around and see [From.GetHerHim] trying to hide from me. The surprise is ruined.
EVTDESCB_ZE_12102	I come back after a day out fetching some things at the market and see [From.GetFirstName] patiently waiting for me like I asked.
EVTDESCC_ZE_12102	I could hear someone sneaking around inside and believed it to be a burglar. When I went downstairs I discovered [From.GetFirstName] opening one of my letters.
EVTDESCD_ZE_12102	I had expected some letters today but couldn't find any. I was suspicious at first but when I asked [From.GetFirstName] [From.GetSheHe] pointed to a table where they were already sorted for me, untouched.
EVTOPTA_ZE_12102	I'll grab [From.GetHerHim] by the ear and have a serious talk.
EVTOPTB_ZE_12102	I can't blame [From.GetHerHim].
EVTOPTC_ZE_12102	I should give [From.GetHerHim] some treats.
EVTOPTD_ZE_12102	I'll teach [From.GetHerHim] to be less nosy.
EVTOPTE_ZE_12102	[From.GetSheHeCap] could use some practice reading.
EVTOPTF_ZE_12102	[From.GetSheHeCap] is a joy to have around.
EVTDESCA_ZE_12104	[From.GetTitledName] was buying things at the market and [From.GetSheHe] saw me there. Then [From.GetSheHe] pinched my ear and said I should do what I am told. [From.GetSheHeCap] was getting me a treats at the market but now I won't get any!
EVTDESCB_ZE_12104	I followed [From.GetTitledName] to the market, but then [From.GetSheHe] caught me. [From.GetSheHeCap] laughed and said I was hopeless.
EVTDESCC_ZE_12104	[From.GetTitledName] saw me opening the letter and grabbed me by the hand. Then he cut my finger with the paper and said I should keep my nose out of others business.
EVTDESCD_ZE_12104	[From.GetTitledName] came downstairs just as I was opening the letter but [From.GetSheHe] wasn't angry with me. [From.GetSheHeCap] told me it is considered rude to go through other people's belongings.
EVTDESCE_ZE_12104	It was a big disgusting rat. It hissed and bit me in the hand and now it hurts, a lot!
EVTDESCF_ZE_12104	I found an injured bird, it seems to have fallen from its nest. Maybe I can keep it as a pet while it recovers.
EVTOPTA_ZE_12104	[From.GetSheHeCap] is hiding something.
EVTOPTB_ZE_12104	I should apologize.
EVTOPTC_ZE_12104	[From.GetSheHeCap] is so much fun!
EVTOPTD_ZE_12104	That was a secret letter!
EVTOPTE_ZE_12104	It wasn't mine to read.
EVTOPTF_ZE_12104	It's probably a boring letter anyway.
EVTOPTG_ZE_12104	I'm glad I found out!
EVTOPTH_ZE_12104	I was meant to learn.
EVTOPTI_ZE_12104	What a great day.
EVTDESCA_ZE_12106	[From.GetFirstName] didn't react well to my way of correcting [From.GetHerHis] behavior. I fear [From.GetSheHe] is even more suspicious towards me now.
EVTDESCB_ZE_12106	[From.GetFirstName] Seems regretful that [From.GetSheHe] disobeyed me. Hopefully It won't happen again.
EVTDESCC_ZE_12106	[From.GetFirstName] seems even more interested in the letter now that [From.GetSheHe] knows it's forbidden.
EVTDESCD_ZE_12106	After talking to [From.GetFirstName] [From.GetSheHe] seems to understand the concept of privacy better.
EVTOPTA_ZE_12106	Worrying.
EVTOPTB_ZE_12106	There is hope for the child.
EVTOPTC_ZE_12106	Maybe I should have dealt with it differently.
EVTOPTD_ZE_12106	A step in the right direction.
EVTOPTE_ZE_12100_TOOLTIP1	Find something nasty.
EVTOPTE_ZE_12100_TOOLTIP2	Find a friend.
EVTDESCA_ZE_12080	I saw that the private chambers of [conscientious_events_char_1.GetFullName] were very messy. Papers, books and things lying around everywhere!
EVTDESCB_ZE_12080	After supper, me and [conscientious_events_char_2.GetFirstName] were supposed to help do the dishes. But [conscientious_events_char_2.GetFirstName] hid the dirty dishes and wants to go play instead.
EVTDESCC_ZE_12080	It's getting late but I lost my new vest when I was playing somewhere. If i come back without it everyone will think I'm sloppy!
EVTOPTA_ZE_12080	I will sort it out for [conscientious_events_char_1.GetHerHim].
EVTOPTB_ZE_12080	So much to do outside.
EVTOPTC_ZE_12080	I have to tell on [conscientious_events_char_2.GetHerHim].
EVTOPTD_ZE_12080	No one will find out!
EVTOPTE_ZE_12080	I have to go look for it.
EVTOPTF_ZE_12080	I can explain when I get back.
EVTOPTE_ZE_12080_TOOLTIP1	Becoming ill
EVTOPTE_ZE_12080_TOOLTIP2	Successfull find
EVTDESCA_ZE_12082	As I enter my chambers, all of the work I had done in my spare time seems to have been cleaned up and put back. Books are neatly set in alphabetical order and notes have been thrown away. [From.GetFullName] was apparently 'cleaning' earlier.
EVTDESCB_ZE_12082	After supper, me and [From.GetFirstName] were forced to do dishes. But I was clever and hid them, until [From.GetFirstName] told on me and now I have to do all of it.
EVTDESCC_ZE_12082	After supper, me and [From.GetFirstName] had to clean up. But we hid all the dishes where no one could see and now we have been playing all evening.
EVTOPTA_ZE_12082	I'll mess up [From.GetHerHis] chambers.
EVTOPTB_ZE_12082	Cleaning is not my virtue...
EVTOPTC_ZE_12082	Unfair! I'll run away.
EVTOPTD_ZE_12082	Stupid dishes.
EVTOPTE_ZE_12082	We had so much fun together.
EVTDESCA_ZE_12084	[From.GetTitledName] didn't like that I was cleaning [From.GetHerHis] chambers, [From.GetSheHe] could not find important books. Now [From.GetSheHe] messed mine up and said I wasn't allowed back in [From.GetHersHis] anymore.
EVTDESCB_ZE_12084	[From.GetFirstName] ran away when I told on him. The others said I don't have to do all the work alone. But I was a good [Root.GetBoyGirl] for telling them.
EVTDESCC_ZE_12084	[From.GetFirstName] was angry with me, but we did finish all the work together. Maybe [From.GetSheHe] doesn't like me any more.
EVTDESCD_ZE_12084	I was out too long in the evening, and it hurts when I breathe. The adults say I have to rest a lot.
EVTDESCE_ZE_12084	Yes! I found my vest and no one will even know it was missing.
EVTOPTA_ZE_12084	Now I have to clean again.
EVTOPTB_ZE_12084	[From.GetSheHeCap] is a meanie and I will tell everyone!
EVTOPTC_ZE_12084	I will do it myself.
EVTOPTD_ZE_12084	I can spend time reading.
EVTOPTE_ZE_12084	The grownups are happy.
EVTOPTF_ZE_12084	I feel terrible.
EVTOPTG_ZE_12084	Next time I will take my things with me.
EVTDESCA_ZE_12086	[From.GetFirstName] is quietly cleaning [From.GetHerHis] chambers after my episode in there. Seems like this is a very thorough child.
EVTDESCB_ZE_12086	[From.GetFirstName] was very upset with me and told everyone what I did.
EVTOPTA_ZE_12086	Maybe I shouldn't have.
EVTOPTB_ZE_12086	That little monster.
EVTDESCA_ZE_12090	It's bedtime but I can't find my favorite toy. I have it when I go to sleep.
EVTDESCB_ZE_12090	Food is on my plate, but steam is coming out of it. I wonder if it's safe to eat? [fussy_events_char_2.GetTitledName] is looking at me.
EVTDESCC_ZE_12090	I was invited to the servants' quarters to eat cake with them tonight. But just as I was going there, it started raining.
EVTOPTA_ZE_12090	I can't sleep without it!
EVTOPTB_ZE_12090	I'm a big [Root.GetBoyGirl] now.
EVTOPTC_ZE_12090	It's too hot.
EVTOPTD_ZE_12090	I should trust [fussy_events_char_2.GetFirstName].
EVTOPTE_ZE_12090	I can make it if I run.
EVTOPTF_ZE_12090	I don't want to get wet, I'll wait.
EVTOPTE_ZE_12090_TOOLTIP1	Make it with no effort
EVTOPTE_ZE_12090_TOOLTIP2	Out in the cold too long
EVTDESCA_ZE_12092	[From.GetFirstName] says [From.GetHerHis] favorite toy is missing and [From.GetSheHe] won't go to bed without it. I may have thrown it out today when I was tidying up.
EVTDESCB_ZE_12092	[From.GetFirstName] was a bit worried about not finding [From.GetHerHis] favorite toy, but seems to have settled down and is now sound asleep. 
EVTDESCC_ZE_12092	At the table today, [From.GetFirstName] complained about the food being too hot without even touching it.
EVTDESCD_ZE_12092	[From.GetFirstName] was very happy at dinner today, eating with great appetite.
EVTOPTA_ZE_12092	I'll offer to buy a new one.
EVTOPTB_ZE_12092	Guess I have to go find it.
EVTOPTC_ZE_12092	One more step towards growing up.
EVTOPTD_ZE_12092	Touch the food to make sure.
EVTOPTE_ZE_12092	Let [From.GetHerHim] wait.
EVTOPTF_ZE_12092	That's nice.
EVTDESCA_ZE_12094	[From.GetFirstName] offered to get me a new toy. [From.GetSheHeCap] said we could go find something nice tomorrow.
EVTDESCB_ZE_12094	[From.GetFirstName] finally found my toy after looking for it everywhere. It was in the trash.
EVTDESCC_ZE_12094	[From.GetFirstName] reached over the table and touched my food with [From.GetHerHis] whole hand. [From.GetSheHeCap] said it was not too hot to eat.
EVTDESCD_ZE_12094	[From.GetFirstName] seemed angry with me and told me to wait until I felt the food's temperature was just right. Now its cool enough.
EVTDESCE_ZE_12094	I ran very fast and I made it in time. We had lots of fun and the servants seem to like me.
EVTDESCF_ZE_12094	I made it to the servants' quarters, but I got very wet. Then we had a good time and they felt sorry for me having to go out in the cold..
EVTOPTA_ZE_12094	It's not the same, I want my toy!
EVTOPTB_ZE_12094	Ok then.
EVTOPTC_ZE_12094	It stinks!
EVTOPTD_ZE_12094	Oh I thought I had lost it.
EVTOPTE_ZE_12094	But now [From.GetSheHe] touched it.
EVTOPTF_ZE_12094	I guess it's fine.
EVTOPTG_ZE_12094	But now some of it is too cold.
EVTOPTH_ZE_12094	Alright, I'll eat the cold food.
EVTOPTI_ZE_12094	Yum yum.
EVTOPTJ_ZE_12094	I don't feel so good.
EVTDESCA_ZE_12096	My offer to purchase a new toy was rejected by [From.GetFirstName]. [From.GetSheHeCap] is upset I would even suggest such a thing.
EVTDESCB_ZE_12096	[From.GetFirstName] agreed to go get a new toy the next day and finally settled down.
EVTDESCC_ZE_12096	I found the toy [From.GetFirstName] was crying about after going through the trash. But now [From.GetSheHe] is not satisfied because it smells.
EVTDESCD_ZE_12096	[From.GetFirstName] finally fell asleep after I found [From.GetHerHis] toy.
EVTDESCE_ZE_12096	No matter what I do or avoid doing, there seems to be no good way to make [From.GetFirstName] relax. [From.GetSheHeCap] won't eat at all now and I have no more energy to deal with it.
EVTDESCF_ZE_12096	[From.GetFirstName] finally decided to eat [From.GetHerHis] food.
EVTOPTA_ZE_12096	There is no pleasing this child.
EVTOPTB_ZE_12096	What a relief.
EVTOPTC_ZE_12096	It stinks!
EVTOPTD_ZE_12096	Oh I thought I had lost it.
EVTOPTE_ZE_12096	Hopeless.
EVTOPTF_ZE_12096	Peace at last.
EVTDESCA_ZE_12110	[idolizer_events_char_1.GetTitledName] is so kind to me. And [idolizer_events_char_1.GetSheHe] seems to know so much about everything.
EVTDESCB_ZE_12110	Spending time with [idolizer_events_char_2.GetFirstName] is great. We get along so well. Even when we do chores together time goes by so fast.
EVTDESCC_ZE_12110	I have been praying with the [Root.Religion.GetPriestTitle] for a while and some of the other people in the temple are getting ready to leave.
EVTOPTA_ZE_12110	I'll write [idolizer_events_char_1.GetHerHim] a song!
EVTOPTB_ZE_12110	I should tell the courtiers that I like it here.
EVTOPTC_ZE_12110	Everything is better when [idolizer_events_char_2.GetSheHe] is around.
EVTOPTD_ZE_12110	I will stay friends with [idolizer_events_char_2.GetHerHim] forever.
EVTOPTE_ZE_12110	[Root.Religion.GetRandomGodNameCap] will notice my dedication.
EVTOPTF_ZE_12110	I can collect alms to keep for myself.
EVTDESCA_ZE_12112	[From.GetFirstName] has written a song in my honor. Apparently [From.GetSheHe] wants me to know that I'm the best person in the world.
EVTDESCB_ZE_12112	[From.GetFirstName] told me that everyone is so kind here. [From.GetSheHeCap] would make sure everyone knew how grateful [From.GetSheHe] is.
EVTDESCC_ZE_12112	[From.GetFirstName] tells me that [From.GetSheHe] really loves spending time with me. I make [From.GetHerHis] days so much better.
EVTDESCD_ZE_12112	[From.GetFirstName] and I always get along well and now [From.GetSheHe] told me that we should stay friends forever.
EVTOPTA_ZE_12112	I can tell stories to impress [From.GetHerHim].
EVTOPTB_ZE_12112	I'm just a responsible adult.
EVTOPTC_ZE_12112	[From.GetSheHeCap] is a joy to have around.
EVTOPTD_ZE_12112	I'll kiss [From.GetFirstName] on the cheek.
EVTOPTE_ZE_12112	[From.GetSheHeCap] is kind. But I don't feel that way.
EVTOPTF_ZE_12112	I can always count on [From.GetFirstName].
EVTDESCA_ZE_12114	[From.GetFirstName] was very happy for my gesture. [From.GetSheHeCap] agreed that [From.GetHerHis] exceptional personality and skill is worthy of songs and praise. Now the others could see [From.GetHerHim] for what [From.GetSheHe] is.
EVTDESCB_ZE_12114	[From.GetFirstName] was humbled by the song I had written. But [From.GetSheHeCap] wanted to make a point of being just an ordinary person, and that I shouldn't give [From.GetHerHim] more credit than [From.GetSheHe] deserves.
EVTDESCC_ZE_12114	[From.GetFirstName] said that I'm also wonderful to be around. Then [From.GetSheHe] gave me a kiss on the cheek and ran away.
EVTDESCD_ZE_12114	[From.GetFirstName] seemed a bit uneasy when I told [From.GetHerHim] how I felt. [From.GetSheHeCap] said that it was a nice thing to say, but maybe we should spend less time together.
EVTDESCE_ZE_12114	After a whole night of religious ritual, I started getting hungry and my mind wandered. Maybe [Root.Religion.GetRandomGodName] is happy with the time I spent here.
EVTOPTA_ZE_12114	I wish [From.GetSheHe] was my [From.GetFatherMother].
EVTOPTB_ZE_12114	What a dufus.
EVTOPTC_ZE_12114	What a hero.
EVTOPTD_ZE_12114	Grownups can do anything.
EVTOPTE_ZE_12114	[From.GetSheHeCap] is the best.
EVTOPTF_ZE_12114	This is not what I meant.
EVTOPTG_ZE_12114	I shouldn't have said anything.
EVTOPTH_ZE_12114	I am being tested, I must stay here.
EVTOPTI_ZE_12114	I can't miss fencing practice.
EVTDESCA_ZE_12116	[From.GetFirstName] is no less impressed by me now. It seems I'm quite the idol for [From.GetHerHim].
EVTDESCB_ZE_12116	[From.GetFirstName] seems to have lost [From.GetHerHis] overwhelming affection for me. For better or worse, it's good to learn moderation. I might not be that special after all.
EVTDESCC_ZE_12116	[From.GetFirstName] said that I'm also wonderful to be around. Then [From.GetSheHe] gave me a kiss on the cheek and ran away.
EVTDESCD_ZE_12116	[From.GetFirstName] seemed a bit uneasy when I told [From.GetHerHim] how I felt. [From.GetSheHeCap] said that it was a nice thing to say, but maybe we should spend less time together.
EVTOPTA_ZE_12116	I hope I'm a good influence on [From.GetHerHim].
EVTOPTB_ZE_12116	The older they get...
EVTOPTC_ZE_12116	What a sweetie.
EVTOPTD_ZE_12116	I don't like [From.GetHerHim] anyway...
INHERITANCE_INFAMY	Inheritance from $FROM$
INDEPENDENCE_INFAMY	$VASSAL$ Independence
VASSELIZATION_INFAMY	$VASSAL$ Vassalization
EVTDESCA_ZE_12070	It has been a long day outside and [playful_events_char_1.GetTitledName] says it is time to head back home. [playful_events_char_1.GetSheHeCap] is carrying some heavy bags, maybe this time I can beat [playful_events_char_1.GetHerHim].
EVTDESCB_ZE_12070	It's late at night and I get out of bed to use the chamberpot. [playful_events_char_2.GetFirstName] starts calling my name and I see a man hiding under the dining table. He notices me and whispers 'psst, come over here'. 
EVTDESCC_ZE_12070	Today I had to help out digging in the garden, but gardening is boring. The gardener is boring too, but maybe?
EVTOPTA_ZE_12070	Race me!
EVTOPTB_ZE_12070	Help [playful_events_char_1.GetHerHim] with the bags.
EVTOPTC_ZE_12070	Hide with the man.
EVTOPTD_ZE_12070	Answer [playful_events_char_2.GetFirstName].
EVTOPTE_ZE_12070	I can tickle her.
EVTOPTF_ZE_12070	Hard work is good for discipline.
EVTOPTE_ZE_12070_TOOLTIP1	Gardener is tickly.
EVTOPTE_ZE_12070_TOOLTIP2	Gardener doesn't appreciate tickling.
EVTDESCA_ZE_12072	After I told [From.GetFirstName] it was time to head on home, [From.GetSheHe] looked at me with a grin on [From.GetHerHis] face and told me to race [From.GetHerHim] home, leaving me to carry everything on my own.
EVTDESCB_ZE_12072	After some hours running errands I was heading back home with [From.GetFirstName]. Just as I told [From.GetHerHim] we were going home [From.GetSheHe] took one of the bags to help carry it without me even asking.
EVTDESCC_ZE_12072	[playful_events_char_2.GetFirstName] stops calling for me after a while. The man says 'I bet you this gold coin you can't hold your breath until I'm outside'.
EVTDESCD_ZE_12072	[From.GetFirstName] was not in [From.GetHerHis] his room and I was starting to get worried. When [From.GetSheHe] finally answered I found [From.GetHerHim] staring at a burglar who was trying to hide from me.
EVTOPTA_ZE_12072	Race [From.GetHerHim].
EVTOPTB_ZE_12072	Lecture [From.GetHerHim] about responsibilities.
EVTOPTC_ZE_12072	Bless the child.
EVTOPTD_ZE_12072	Easy money.
EVTOPTE_ZE_12072	Call for [playful_events_char_2.GetFirstName].
EVTOPTF_ZE_12072	Guards!
EVTDESCA_ZE_12074	[From.GetFirstName] chased and caught me. Maybe next time I can run fast enough.
EVTDESCB_ZE_12074	[From.GetFirstName] was not happy that I ran away from [From.GetHerHim] without helping. Now I have to stay indoors all day tomorrow.
EVTDESCC_ZE_12074	Before I knew it, the man was running out through the door. He didn't even look back once.
EVTDESCD_ZE_12074	[From.GetFirstName] seemed shocked when [From.GetSheHe] found me. The guards came and took the man hiding under the table. They said he was a bad man and I should stay away from strangers.
EVTDESCE_ZE_12074	We had some time to play before we finished all of the work.
EVTDESCF_ZE_12074	She was not ticklish, and now she is telling everybody what a hassle I am to have around.
EVTOPTA_ZE_12074	[From.GetSheHeCap] is so fast.
EVTOPTB_ZE_12074	[From.GetFirstName] is a cheater.
EVTOPTC_ZE_12074	Everyone here is so boring.
EVTOPTD_ZE_12074	I win, easy.
EVTOPTE_ZE_12074	I wonder who that was.
EVTOPTF_ZE_12074	Nothing has to be boring.
EVTOPTG_ZE_12074	She is stupid.
EVTDESCA_ZE_12076	[From.GetFirstName] never seems to be grumpy, always playing without a care in the world.
EVTDESCB_ZE_12076	[From.GetFirstName] was a little bit let down that I caught up with [From.GetHerHim] and even called me a cheater. Not always winning is a good thing for children to learn.
EVTDESCC_ZE_12076	I heard noises in the middle of the night and when I got up to check on [From.GetFirstName] I had to call out several times. Then [From.GetSheHe] finally answered and I found [From.GetHerHim] under the dining table with a burglar. The guards made quick work of the burglar.
EVTOPTA_ZE_12076	It will change.
EVTOPTB_ZE_12076	[From.GetSheHeCap] will thank me later.
EVTOPTC_ZE_12076	Thank [Root.Religion.GetRandomGodName] I found [From.GetHerHim].
EVTDESCA_ZE_12060	[indolent_events_char_1.GetFirstName] has come to get my help, today we are going to cut down some trees. Very hard work [indolent_events_char_1.GetSheHe] says.
EVTDESCB_ZE_12060	I've been asked to go fetch some supplies at the market but it's a long walk. [indolent_events_char_2.GetFirstName] is already going to get other things.
EVTDESCC_ZE_12060	I'm reading a poetry book in my room but the weather is so nice outside. There are some children playing in the sun.
EVTOPTA_ZE_12060	Ouch, my stomach hurts suddenly.
EVTOPTB_ZE_12060	I'll cut down the biggest one.
EVTOPTC_ZE_12060	Pay [indolent_events_char_2.GetHerHim] to get your groceries.
EVTOPTD_ZE_12060	Join up with [indolent_events_char_2.GetHerHim].
EVTOPTE_ZE_12060	Go see what they are doing.
EVTOPTF_ZE_12060	Keep on reading.
EVTDESCA_ZE_12062	As soon as I came to pick up [From.GetFirstName] to help me out cutting down some trees [From.GetSheHe] starts complaining. Apparently [From.GetSheHe] has a nasty stomach ache.
EVTDESCB_ZE_12062	Today me and [From.GetFirstName] spent some time outside cutting down trees, no complaints from the young [From.GetBoyGirl] and work was finished early.
EVTDESCC_ZE_12062	[From.GetFirstName] asked me to get some things for [From.GetHerHim] at the market as I am already going there. [From.GetSheHeCap] is even paying me
EVTDESCD_ZE_12062	[From.GetFirstName] came with me to the market today, we both had to go get some groceries and had time to talk a lot.
EVTOPTA_ZE_12062	Indolent brat, I'll show [From.GetHerHim].
EVTOPTB_ZE_12062	Maybe there's something wrong with [From.GetHerHim]?
EVTOPTC_ZE_12062	Job well done.
EVTOPTD_ZE_12062	Very easy money.
EVTOPTE_ZE_12062	I refuse!
EVTOPTF_ZE_12062	[From.GetFirstName] is so kind.
EVTDESCA_ZE_12064	[From.GetFirstName] spanked me when I complained about my stomach ache. Then [From.GetSheHe] grabbed my arm and told me we were going outside.
EVTDESCB_ZE_12064	[From.GetFirstName] seemed worried and brought me some tea. I have to drink it to get better. I also got some freshly baked bread for when I feel better.
EVTDESCC_ZE_12064	[From.GetFirstName] agreed to go get everything if I gave [From.GetHerHim] some extra coin. I should stay in my room so no one knows I'm still home. I've got some time to spend while I'm in here.
EVTDESCD_ZE_12064	[From.GetFirstName] didn't want to help me out. [From.GetSheHeCap] is already heading out.
EVTDESCE_ZE_12064	The other children are chasing each other, lots of running and jumping.
EVTOPTA_ZE_12064	Now I can't use my arm to cut trees.
EVTOPTB_ZE_12064	I'm coming, I'm coming!
EVTOPTC_ZE_12064	Oh tea and fresh bread!
EVTOPTD_ZE_12064	Maybe I should help [From.GetHerHim].
EVTOPTE_ZE_12064	I could use a nap right now.
EVTOPTF_ZE_12064	Read a book about money.
EVTOPTG_ZE_12064	I guess I'll have to go then.
EVTOPTH_ZE_12064	Maybe I'll just watch them.
EVTOPTI_ZE_12064	I'll join in.
EVTDESCA_ZE_12066	[From.GetFirstName] apparently has pains in [From.GetHerHis] arm now after I grabbed it and 'cannot use it to cut trees'.
EVTDESCB_ZE_12066	[From.GetFirstName] was happy when I brought [From.GetHerHim] some tea and bread. [From.GetSheHe] should recover soon.
EVTDESCC_ZE_12066	Some motivation can give good results, apparently the pain is all gone now after some convincing and [From.GetFirstName] will come join me.
EVTOPTA_ZE_12066	Hopeless...
EVTOPTB_ZE_12066	Poor child.
EVTOPTC_ZE_12066	Suddenly better, that's great.
EVTDESCA_ZE_12050	[brooding_events_char_1.GetTitledName] promised to take me riding today, but when I came to see [brooding_events_char_1.GetHerHim] [brooding_events_char_1.GetSheHe] was drunk and half asleep.
EVTDESCB_ZE_12050	'Try it again,' [brooding_events_char_2.GetFirstName] says. But I can't do it! I can't whistle.
EVTDESCC_ZE_12050	Everyone was busy at home, so I snuck out to the commoners market. When I got there some children were being mean to a smaller child in ragged clothes.
EVTOPTA_ZE_12050	Pour some water on [brooding_events_char_1.GetHerHim].
EVTOPTB_ZE_12050	Leave [brooding_events_char_1.GetHerHim] alone.
EVTOPTC_ZE_12050	How come you can do it?
EVTOPTD_ZE_12050	Keep trying.
EVTOPTE_ZE_12050	Stop them.
EVTOPTF_ZE_12050	Noone can know I'm here.
EVTDESCA_ZE_12052	Sure, I forgot about my promise to take [From.GetFirstName] riding. But now... Now [From.GetSheHe] poured water on me when I was resting. I only had a little bit to drink, and and and I am the [Root.PrimaryTitle.GetRulerTitle]!
EVTDESCB_ZE_12052	I woke up feeling a bit hung over, and it's already evening. I vaguely recall [From.GetFirstName] looking at me before I fell asleep. I think I had plans with [From.GetHerHim].
EVTDESCC_ZE_12052	[From.GetFirstName] wanted to learn to whistle. After trying for a while [From.GetSheHe] asked me 'How come you can do it?'
EVTDESCD_ZE_12052	[From.GetFirstName] asked me to teach [From.GetHerHim] how to whistle. I must have inspired [From.GetHerHim], now [From.GetSheHe] has been at it for hours.
EVTOPTA_ZE_12052	I'll show [From.GetHerHim]!
EVTOPTB_ZE_12052	I'm sorry [From.GetFirstName].
EVTOPTC_ZE_12052	I feel sick.
EVTOPTD_ZE_12052	It's easy, you can do it.
EVTOPTE_ZE_12052	Not everyone can do it.
EVTOPTF_ZE_12052	[From.GetSheHeCap]'ll get it right soon.
EVTDESCA_ZE_12054	[From.GetFirstName] tried to say something, but I couldn't hear what it was. Then [From.GetSheHeCap] got up and raised [From.GetHerHis] fist at me before stumbling and falling. Now [From.GetSheHe] is snoring.
EVTDESCB_ZE_12054	[From.GetFirstName] is quietly mumbling some words and rubbing [From.GetHerHis] face. 'Sorry, I'm sorry' [From.GetSheHe] says..
EVTDESCC_ZE_12054	[From.GetFirstName] told me that whistling is easy. That I can do it if I try. But I've tried many times already.
EVTDESCD_ZE_12054	[From.GetFirstName] said that not everyone learns to whistle. Some can never do it.
EVTDESCE_ZE_12054	The bullies all scatter when I tell them to stop. The small child looks at me and asks for food without mentioning the others and what they did. Is this how commoners live?
EVTOPTA_ZE_12054	My life will never be like this.
EVTOPTB_ZE_12054	Take some money while [From.GetSheHe] is sleeping.
EVTOPTC_ZE_12054	[From.GetFirstName] is not a grown up.
EVTOPTD_ZE_12054	Comfort [From.GetHerHim].
EVTOPTE_ZE_12054	Everyone can do it but me.
EVTOPTF_ZE_12054	I am good at other things.
EVTOPTG_ZE_12054	Donate some money for food and clothes.
EVTOPTH_ZE_12054	Tell child to ask their mom and dad.
EVTDESCA_ZE_12056	I have a bad headache, and my episode with [From.GetFirstName] is slowly coming back to me. There is no excuse for my behavior. What's worse is that I even got lectured by a child.
EVTDESCB_ZE_12056	Waking up in my room, I seem to be missing some money. I vaguely remember [From.GetFirstName] being here. Wasn't [From.GetSheHe]?
EVTDESCC_ZE_12056	The last thing I remember before falling asleep is apologizing to [From.GetFirstName]. It seems my apology was not what [From.GetSheHe] wanted.
EVTDESCD_ZE_12056	I wake up, and [From.GetFirstName] is still by my side. [From.GetSheHeCap] has brought me some water to drink, and covered me with a blanket. I don't deserve treatment like this. But if [From.GetSheHe] sees good in me...
EVTDESCE_ZE_12056	[From.GetFirstName] seems a bit frustrated by [From.GetHerHis] failed attempts. [From.GetSheHeCap] doesn't seem to respond well to my encouraging words.
EVTDESCF_ZE_12056	[From.GetFirstName] went back to [From.GetHerHis] room to do other things now.
EVTOPTA_ZE_12056	I have seen better days.
EVTOPTB_ZE_12056	That brat.
EVTOPTC_ZE_12056	I'm in a sad state.
EVTOPTD_ZE_12056	I can change. I will change.
EVTOPTE_ZE_12056	Many things seem to trouble this child.
EVTOPTF_ZE_12056	I'm glad [From.GetSheHe] doesn't dwell too much on these things.
EVTDESCA_ZE_12040	[willful_events_char_1.GetFirstName] is frowning at me. 'Waste of time. It will never fit, you've grown out of it.' [willful_events_char_1.GetSheHe] says. But it's my favorite hat!
EVTDESCB_ZE_12040	I'm out playing with [willful_events_char_2.GetFirstName] and we're close to the abandoned haunted house, we're not supposed to go there and [willful_events_char_2.GetFirstName] is looking frightened.
EVTDESCC_ZE_12040	I've been out fishing for hours. I still haven't caught a fish as big as that servant's child got yesterday.
EVTOPTA_ZE_12040	It will fit if you help me.
EVTOPTB_ZE_12040	Give the hat to someone younger.
EVTOPTC_ZE_12040	Go inside.
EVTOPTD_ZE_12040	Turn back.
EVTOPTE_ZE_12040	If I wait long enough.
EVTOPTF_ZE_12040	Go home.
EVTOPTE_ZE_12040_TOOLTIP1	Catch something.
EVTOPTE_ZE_12040_TOOLTIP2	Waste time.
EVTDESCA_ZE_12042	[From.GetFirstName] insists that I help [From.GetHerHim] get an old hat to fit. A very futile task as [From.GetSheHe]'s too big for it now as I've already told [From.GetHerHim] several times.
EVTDESCB_ZE_12042	[From.GetFirstName] really wants to go inside the scary haunted house. It looks like it's dangerous and we have been told not to go near it.
EVTOPTA_ZE_12042	No child tells me what to do.
EVTOPTB_ZE_12042	Give in to demands.
EVTOPTC_ZE_12042	I don't want to go in there.
EVTOPTD_ZE_12042	I can do this.
